Row.names	sig	Pattern	FC_x_axis	FC_y_axis	padj	ENTREZID
PDGFRA	Sen_low	Pro < Sen < Qui	-1.8311914843684	-2.85798307177738	0	5156
PDGFRB	Sen_low	Pro = Qui < Sen	-2.10099988439455	-1.92447279621843	0	5159
PDK1	Sen_high	Pro = Qui > Sen	1.59605413560842	2.39038519121756	4.42090808405737e-13	5163
PDK2	Sen_low	Pro < Sen < Qui	-1.11931379479697	-1.65751001306665	1.11022302462516e-16	5164
PDK4	Sen_low	Pro < Sen < Qui	-1.00083761170973	-7.85699465258797	1.11022302462516e-16	5166
PDLIM4	Sen_high	Pro > Sen > Qui	2.32771812404539	3.01195200698069	1.11022302462516e-16	8572
PDPN	Sen_high	Pro > Qui > Sen	3.50259730300596	1.61198801478284	8.88178419700125e-16	10630
PDSS1	Sen_high	Pro > Sen > Qui	1.42834120102329	1.93342533051817	0	23590
PDZK1	Sen_high	Pro = Qui > Sen	2.25286990756503	2.75584533746517	0	5174
PDZRN3	Sen_low	Pro < Sen < Qui	-2.03223586179819	-3.02965440425346	0	23024
PEAK1	Sen_low	Pro = Qui < Sen	-1.43232692363927	-1.47357250496139	0	79834
PEAR1	Sen_low	Pro < Qui < Sen	-3.09816010112544	-1.77383381534943	0	375033
PELI2	Sen_low	Pro = Qui < Sen	-3.21187393375531	-3.43481150873137	1.11022302462516e-16	57161
PER2	Sen_low	Pro = Qui < Sen	-1.15526461492489	-1.33891999353513	2.74584577297787e-10	8864
PER3	Sen_low	Pro = Qui < Sen	-3.33955034125145	-3.40021618553539	4.48086012738713e-13	8863
PEX11A	Sen_low	Pro = Qui < Sen	-1.06849120430036	-1.31197593556077	7.33080263159991e-13	8800
PEX11G	Sen_low	Pro < Sen < Qui	-1.29737242600171	-2.2419138851899	7.38583638693058e-11	92960
PEX12	Sen_low	Pro = Qui < Sen	-1.02184181546577	-1.13144167043532	7.57827134378886e-12	5193
PFDN2	Sen_high	Pro > Sen > Qui	1.68837770681253	1.96319647332671	0	5202
PFDN6	Sen_high	Pro = Qui > Sen	1.27364173340757	1.29318837686458	0	10471
PFKFB2	Sen_low	Pro = Qui < Sen	-1.1679644985548	-1.61367460675387	0	5208
PFKFB4	Sen_high	Pro = Qui > Sen	2.75094803437222	3.11061800629551	0	5210
PGAM1	Sen_high	Pro > Sen > Qui	1.12407323549409	1.55119315633114	0	5223
PGAM4	Sen_high	Pro = Qui > Sen	1.41396507514245	1.73400736436788	1.99840144432528e-15	441531
PGAM5	Sen_high	Pro = Qui > Sen	1.31071653522193	1.51306330840573	0	192111
PGAP3	Sen_low	Pro < Sen < Qui	-1.27273863892953	-1.87693429077481	0	93210
PGK1	Sen_high	Pro > Sen > Qui	1.23657413181724	1.90398348825628	0	5230
PGM5P4-AS1	Sen_low	Pro = Qui < Sen	-4.15453036634093	-5.05474225961002	2.37652735413096e-06	103344932
PGP	Sen_high	Pro = Qui > Sen	1.26029631754292	1.58967369265166	0	283871
PHC1	Sen_low	Pro < Sen < Qui	-1.38048559054677	-1.6985175682451	1.11022302462516e-16	1911
PHF14	Sen_low	Pro < Sen < Qui	-1.36687344729353	-1.79902631518145	0	9678
PHF2	Sen_low	Pro < Sen < Qui	-1.37874422360315	-1.67880755340913	1.11022302462516e-16	5253
PHGDH	Sen_low	Pro < Qui < Sen	-3.96127281461012	-3.42361324544596	1.11022302462516e-16	26227
PHKA1	Sen_high	Pro = Qui > Sen	1.07790694134209	1.30772529112985	0	5255
PHLDA2	Sen_high	Pro > Sen > Qui	1.72972676477024	2.96068520558762	0	7262
PHLDB2	Sen_low	Pro = Qui < Sen	-2.56323294951338	-2.43052742583025	0	90102
PHOSPHO1	Sen_high	Pro = Qui > Sen	1.64759247081436	2.47277464914253	3.58084925571323e-05	162466
PHYHD1	Sen_low	Pro < Sen < Qui	-2.31699178786307	-3.24706241954023	0	254295
PI3	Sen_high	Pro = Qui > Sen	15.4421049288504	15.4421049288504	0	5266
PID1	Sen_low	Pro < Sen < Qui	-2.22391874230033	-2.71131823692806	1.11022302462516e-16	55022
PIEZO2	Sen_low	Pro < Sen < Qui	-1.81007356888289	-2.83920475378523	0	63895
PIGA	Sen_high	Pro = Qui > Sen	1.08025302545696	1.433038771921	0	5277
PIGK	Sen_low	Pro < Qui < Sen	-1.67230431898714	-1.42540567887194	0	10026
PIGL	Sen_high	Pro = Qui > Sen	1.31565266828913	1.44247311979175	2.88657986402541e-15	9487
PIK3C2B	Sen_low	Pro = Qui < Sen	-1.75747639907152	-1.74241057834794	0	5287
PIK3CD	Sen_high	Pro > Sen > Qui	1.924075378252	2.39160872888616	0	5293
PIK3CD-AS2	Sen_low	Pro = Qui < Sen	-3.14950158902403	-3.60168648122526	0	101929074
PIK3IP1	Sen_low	Pro < Sen < Qui	-1.1369976638493	-1.60577592873305	0	113791
PIM1	Sen_low	Pro = Qui < Sen	-3.13756560411752	-2.89285565121064	0	5292
PIM2	Sen_high	Pro = Qui > Sen	2.4570312269991	2.70444984176575	1.11022302462516e-16	11040
PIR	Sen_low	Pro < Qui < Sen	-2.17860029212287	-1.67300657309907	0	8544
PITPNC1	Sen_high	Pro > Qui > Sen	3.26450638188863	2.24349946610828	1.11022302462516e-16	26207
PITPNM2	Sen_low	Pro = Qui < Sen	-1.98293663745189	-2.26827464829559	0	57605
PITPNM3	Sen_low	Pro < Qui < Sen	-2.04735116497083	-1.39843167542854	4.06663591689949e-12	83394
PITX1	Sen_low	Pro = Qui < Sen	-1.0604026971143	-1.31032577565219	0	5307
PKDCC	Sen_low	Pro = Qui < Sen	-4.44865891540375	-4.14027035556354	0	91461
PKI55	Sen_low	Pro < Sen < Qui	-1.30980563706827	-2.06832145207022	0	NA
PKIB	Sen_high	Pro = Qui > Sen	4.26267828622532	4.73469870018201	0	5570
PKNOX2	Sen_low	Pro = Qui < Sen	-1.67511952642221	-1.652835146585	2.55255261372156e-10	63876
PLA2G16	Sen_low	Pro < Qui < Sen	-1.84199319988637	-1.35103498325557	1.11022302462516e-16	NA
PLAC9	Sen_low	Pro < Sen < Qui	-3.58797589041418	-4.52562070841417	0	219348
PLAG1	Sen_low	Pro < Sen < Qui	-1.46860914920841	-1.71269388419734	0	5324
PLAU	Sen_high	Pro = Qui > Sen	2.5031539976527	2.18081556864763	1.11022302462516e-16	5328
PLAUR	Sen_high	Pro > Sen > Qui	2.38404540541962	3.15123829322241	0	5329
PLCB1	Sen_low	Pro < Qui < Sen	-2.34614504090379	-1.77480773938294	1.11022302462516e-16	23236
PLCB3	Sen_high	Pro > Sen > Qui	1.16030300986531	1.57450120947218	0	5331
PLCB4	Sen_low	Pro < Qui < Sen	-2.10767085183903	-1.58800106946334	0	5332
PLCD1	Sen_low	Pro = Qui < Sen	-1.1812017595576	-1.1092349318397	0	5333
PLCE1	Sen_low	Pro < Qui < Sen	-2.47229761888226	-1.30590606325805	4.24355287542699e-06	51196
PLCXD1	Sen_high	Pro = Qui > Sen	2.479608364548	2.46517905114422	0	55344
PLCXD2	Sen_high	Pro = Qui > Sen	1.3108756394727	2.4469486160249	0.0022680486948119	257068
PLEK2	Sen_high	Pro > Sen > Qui	6.46569588825071	7.40832757648497	0	26499
PLEKHA4	Sen_low	Pro = Qui < Sen	-2.57970083682189	-2.97509816502929	0	57664
PLEKHA6	Sen_low	Pro = Qui < Sen	-2.63520952616812	-2.50209235255123	0	22874
PLEKHB2	Sen_high	Pro > Sen > Qui	1.12895739566882	1.56333600033617	0	55041
PLEKHG5	Sen_high	Pro > Qui > Sen	2.22540024585062	1.73947576518341	0	57449
PLEKHH2	Sen_low	Pro < Sen < Qui	-2.75195288472334	-3.40959568259937	0	130271
PLEKHN1	Sen_high	Pro = Qui > Sen	3.77663564375611	4.36129915908375	0	84069
PLIN3	Sen_high	Pro > Sen > Qui	1.72577753228737	2.07023476161287	0	10226
PLK3	Sen_high	Pro = Qui > Sen	1.98121196185658	1.83695857757924	0	1263
PLOD2	Sen_high	Pro > Sen > Qui	1.98083966518873	2.73251215502955	0	5352
PLP2	Sen_high	Pro > Sen > Qui	1.14999918634575	2.03789805318652	0	5355
PLSCR1	Sen_low	Pro < Sen < Qui	-1.63919438679214	-2.51196165314866	0	5359
PLSCR4	Sen_low	Pro < Sen < Qui	-3.71340259323843	-4.26557168854011	1.11022302462516e-16	57088
PLXDC2	Sen_low	Pro < Sen < Qui	-2.66896143633361	-3.49638810553939	0	84898
PLXNA2	Sen_high	Pro > Sen > Qui	2.73123135221721	3.28617013465844	1.11022302462516e-16	5362
PLXNC1	Sen_low	Pro < Sen < Qui	-2.29014894963604	-3.18575510523176	0	10154
PMF1-BGLAP	Sen_low	Pro = Qui < Sen	-1.45236264415209	-1.57298153966187	4.38249436740534e-12	100527963
PMP22	Sen_low	Pro = Qui < Sen	-1.39636431132758	-1.61051819272075	0	5376
PMPCA	Sen_high	Pro = Qui > Sen	1.59230473214045	1.59498536914843	0	23203
PNMAL2	Sen_low	Pro = Qui < Sen	-3.35556032692325	-3.71942608203967	0	NA
PNO1	Sen_high	Pro = Qui > Sen	1.17566836384941	1.23326327408783	1.11022302462516e-14	56902
PNP	Sen_high	Pro > Sen > Qui	4.60916830616417	5.18816441568801	0	4860
PNPLA3	Sen_high	Pro > Sen > Qui	2.6783065694697	3.39770286522019	0	80339
PNPLA4	Sen_low	Pro = Qui < Sen	-1.50261681302386	-1.78703895059874	1.11022302462516e-16	8228
PNPLA6	Sen_high	Pro = Qui > Sen	1.01321981868897	1.01888609673578	0	10908
POC1B	Sen_high	Pro = Qui > Sen	2.06814842226752	2.11648991464384	0	282809
PODN	Sen_low	Pro = Qui < Sen	-4.41382601327839	-4.76479493207131	0	127435
PODXL	Sen_high	Pro > Sen > Qui	5.95509140340235	6.84339699833694	0	5420
POLG	Sen_high	Pro = Qui > Sen	1.03866451021878	1.22573688531031	0	5428
POLR1B	Sen_high	Pro = Qui > Sen	1.10173490834156	1.10458681126515	0	84172
POLR1C	Sen_high	Pro = Qui > Sen	1.3196426250366	1.31004691727892	0	9533
POLR2F	Sen_high	Pro = Qui > Sen	1.14719702739451	1.12169955778568	0	5435
POLR2H	Sen_high	Pro = Qui > Sen	1.25241927643356	1.1262742306531	0	5437
POLR2J2	Sen_low	Pro < Sen < Qui	-1.47669375541018	-2.03013482577678	0	246721
POLR3A	Sen_high	Pro = Qui > Sen	1.41868051548636	1.50402287186973	0	11128
POLRMT	Sen_high	Pro = Qui > Sen	1.281000009525	1.25188254513763	0	5442
POP1	Sen_high	Pro > Sen > Qui	1.29678657676594	2.24406598969019	1.74726899615507e-12	10940
POPDC3	Sen_high	Pro > Sen > Qui	1.04896400492282	1.90329590797969	0	64208
PORCN	Sen_high	Pro = Qui > Sen	1.84885354632408	1.69572790687033	0	64840
POT1	Sen_low	Pro = Qui < Sen	-1.11062451600279	-1.04749952966492	1.11022302462516e-16	25913
POT1-AS1	Sen_low	Pro < Qui < Sen	-3.77251382656233	-2.19883698034048	0	401398
POU2F2	Sen_high	Pro > Qui > Sen	6.91648511826098	5.63597218993613	0	5452
POU6F1	Sen_low	Pro < Sen < Qui	-2.1953786243679	-2.72433096432534	1.11022302462516e-16	5463
PPAP2A	Sen_low	Pro = Qui < Sen	-1.59260005479177	-2.61042106866696	5.12459314427893e-07	NA
PPAP2B	Sen_low	Pro < Sen < Qui	-2.69454677818672	-4.43906978288099	0	NA
